x,l[x],l([x]+1),l(x+2)
-2,,,34489.000
-1,,,34463.823
0,34481.408,34461.409,34440.388
1,34456.927,34438.320,34418.690
2,34433.841,34416.624,34398.727
3,34412.836,34397.007,34380.496
4,34393.221,34378.776,34363.650
5,34375.681,34362.274,34348.186
6,34359.181,34346.811,34333.760
7,34344.063,34332.386,34320.026
8,34329.638,34318.653,34306.985
9,34315.907,34305.612,34294.291
10,34303.210,34292.919,34281.602
11,34290.518,34280.230,34268.918
12,34277.830,34267.547,34255.210
13,34264.461,34253.497,34239.110
14,34250.070,34237.055,34218.225
15,34232.259,34215.485,34190.508
16,34209.439,34187.202,34154.424
17,34179.680,34151.017,34120.378
18,34143.368,34116.899,34088.257
19,34109.166,34084.731,34057.937
20,34076.957,34054.389,34029.283
21,34046.610,34025.734,34002.148
22,34017.983,33998.619,33976.374
23,33990.921,33972.879,33951.787
24,33965.254,33948.338,33928.197
25,33940.795,33924.799,33905.397
26,33917.341,33902.051,33883.161
27,33894.668,33879.860,33861.242
28,33872.531,33857.972,33839.370
29,33850.662,33836.106,33817.250
30,33828.764,33813.958,33794.559
31,33806.514,33791.191,33770.942
32,33783.557,33767.439,33746.015
33,33759.503,33742.299,33719.354
34,33733.924,33715.331,33690.498
35,33706.352,33686.054,33658.943
36,33676.272,33653.938,33624.136
37,33643.122,33618.409,33585.478
38,33606.286,33578.835,33542.311
39,33565.089,33534.529,33493.920
40,33518.794,33484.739,33439.528
41,33466.599,33428.646,33378.285
42,33407.624,33365.360,33309.271
43,33340.915,33293.909,33231.486
44,33265.431,33213.241,33143.847
45,33180.042,33122.213,33045.181
46,33083.523,33019.589,32934.221
47,32974.549,32904.032,32809.601
48,32851.686,32774.102,32669.855
49,32713.392,32628.250,32513.405
50,32558.008,32464.813,32338.568
51,32383.756,32282.013,32143.546
52,32188.740,32077.958,31926.430
53,31970.942,31850.639,31685.203
54,31728.226,31597.933,31417.739
55,31458.342,31317.610,31121.815
56,31158.931,31007.338,30795.116
57,30827.543,30664.702,30435.255
58,30461.645,30287.215,30039.787
59,30058.648,29872.344,29606.239
60,29615.936,29417.538,29132.138
61,29130.898,28920.265,28615.051
62,28600.975,28378.059,28052.632
63,28023.708,27788.571,27442.681
64,27396.808,27149.632,26783.206
65,26718.225,26459.331,26072.500
66,25986.236,25716.097,25309.230
67,25199.536,24918.797,24492.529
68,24357.348,24066.835,23622.102
69,23459.538,23160.273,22698.338
70,22506.732,22199.940,21722.421
71,21500.445,21187.559,20696.450
72,20443.198,20125.863,19623.545
73,19338.635,19018.696,18507.942
74,18191.617,17871.109,17355.074
75,17008.294,16689.418,16171.618
76,15796.140,15481.232,14965.496
77,14563.940,14255.427,13745.841
78,13321.717,13022.064,12522.890
79,12080.592,11792.241,11307.812
80,10852.568,10577.865,10112.467
81,,,8949.084
82,,,7829.875
83,,,6766.592
84,,,5770.046
85,,,4849.622
86,,,4012.825
87,,,3264.895
88,,,2608.527
89,,,2043.746
90,,,1567.941
91,,,1176.078
92,,,861.089
93,,,614.378
94,,,426.421
95,,,287.388
96,,,187.721
97,,,118.612
98,,,72.354
99,,,42.523
100,,,24.029
101,,,13.028
102,,,6.763
103,,,3.354
104,,,1.586
105,,,0.714
106,,,0.305
107,,,0.123
108,,,0.047
109,,,0.000
