Age x,Duration 0,Duration 1,Durations 2+
17,0.000282,0.000386,0.000458
18,0.000283,0.000386,0.000459
19,0.000285,0.000389,0.000462
20,0.000286,0.000391,0.000464
21,0.000288,0.000393,0.000467
22,0.000290,0.000397,0.000471
23,0.000293,0.000400,0.000475
24,0.000296,0.000404,0.000480
25,0.000299,0.000408,0.000485
26,0.000303,0.000414,0.000492
27,0.000308,0.000421,0.000500
28,0.000313,0.000428,0.000508
29,0.000321,0.000438,0.000519
30,0.000332,0.000452,0.000531
31,0.000348,0.000471,0.000545
32,0.000367,0.000494,0.000561
33,0.000389,0.000520,0.000579
34,0.000414,0.000549,0.000601
35,0.000441,0.000582,0.000626
36,0.000470,0.000617,0.000654
37,0.000502,0.000657,0.000687
38,0.000539,0.000703,0.000726
39,0.000580,0.000753,0.000769
40,0.000626,0.000810,0.000820
41,0.000677,0.000873,0.000878
42,0.000734,0.000942,0.000944
43,0.000800,0.001021,0.001021
44,0.000873,0.001108,0.001108
45,0.000956,0.001208,0.001208
46,0.001049,0.001322,0.001322
47,0.001153,0.001452,0.001452
48,0.001271,0.001601,0.001601
49,0.001404,0.001770,0.001770
50,0.001552,0.001963,0.001963
51,0.001720,0.002183,0.002183
52,0.001906,0.002432,0.002432
53,0.002115,0.002713,0.002715
54,0.002349,0.003026,0.003036
55,0.002609,0.003374,0.003400
56,0.002900,0.003759,0.003812
57,0.003223,0.004187,0.004277
58,0.003582,0.004664,0.004802
59,0.003982,0.005198,0.005395
60,0.004428,0.005794,0.006064
61,0.004922,0.006457,0.006816
62,0.005471,0.007197,0.007662
63,0.006082,0.008023,0.008613
64,0.006762,0.008943,0.009679
65,0.007520,0.009970,0.010875
66,0.008366,0.011118,0.012214
67,0.009313,0.012402,0.013712
68,0.010373,0.013839,0.015385
69,0.011565,0.015452,0.017252
70,0.012908,0.017264,0.019333
71,0.014426,0.019303,0.021649
72,0.016147,0.021605,0.024224
73,0.018106,0.024208,0.027084
74,0.020342,0.027159,0.030255
75,0.022905,0.030512,0.033767
76,0.025850,0.034333,0.037652
77,0.029246,0.038696,0.041942
78,0.033172,0.043688,0.046672
79,0.037594,0.049283,0.051882
80,0.042409,0.055389,0.057610
81,0.047427,0.061823,0.063897
82,0.052694,0.068642,0.070787
83,0.058305,0.075952,0.078325
84,0.064432,0.083933,0.086556
85,0.071111,0.092634,0.095529
86,0.078378,0.102099,0.105290
87,0.086267,0.112376,0.115888
88,0.094814,0.123510,0.127370
89,0.104053,0.135546,0.139782
90,0.114018,0.148527,0.153168
91,,0.162493,0.167571
92,,,0.183029
93,,,0.199573
94,,,0.217232
95,,,0.236024
96,,,0.255963
97,,,0.277048
98,,,0.299269
99,,,0.322606
100,,,0.346759
101,,,0.370214
102,,,0.392528
103,,,0.413752
104,,,0.433932
105,,,0.453110
106,,,0.471326
107,,,0.488618
108,,,0.505018
109,,,0.520556
110,,,0.535256
111,,,0.549141
112,,,0.562225
113,,,0.574517
114,,,0.586017
115,,,0.596712
116,,,0.606569
117,,,0.615519
118,,,0.623412
119,,,0.629820
120,,,1.000000
